Post Office Name,ÊPincode,Districts Name,City Name,State,
Aberdeen Bazar,744104,A&N Islands,Port Blair,Andaman Nicobar,
Bakultala,Ê744208,A&N Islands,Port Blair,Andaman Nicobar,
Bambooflat,Ê744107,A&N Islands,Port Blair,Andaman Nicobar,
Betapur,Ê744201,A&N Islands,Port Blair,Andaman Nicobar,
Campbell Bay,Ê744302,A&N Islands,Port Blair,Andaman Nicobar,
Car Nicobar,Ê744301,Car Nicobar,Car Nicobar,Andaman Nicobar,
Diglipur,Ê744202,A&N Islands,Port Blair,Andaman Nicobar,
Haddo,744102,A&N Islands,Port Blair,Andaman Nicobar,
Havelock,Ê744211,A&N Islands,Port Blair,Andaman Nicobar,
Hut Bay,Ê744207,A&N Islands,Port Blair,Andaman Nicobar,
Jangli Ghat,744103,A&N Islands,Port Blair,Andaman Nicobar,
Kadamtala A & N,Ê744209,A&N Islands,Port Blair,Andaman Nicobar,
Kapanga,Ê744304,A&N Islands,Port Blair,Andaman Nicobar,
Long Island,Ê744203,A&N Islands,Port Blair,Andaman Nicobar,
Marine Jetty,744101,A&N Islands,Port Blair,Andaman Nicobar,
Mayabunder,Ê744204,A&N Islands,Port Blair,Andaman Nicobar,
N S Building,744101,A&N Islands,Port Blair,Andaman Nicobar,
Nancowrie,Ê744303,A&N Islands,Port Blair,Andaman Nicobar,
Neel Island,744104,A&N Islands,Port Blair,Andaman Nicobar,
New Secretariate Bldg,Ê744105,A&N Islands,Port Blair,Andaman Nicobar,
Oralkatcha,Ê744210,A&N Islands,Port Blair,Andaman Nicobar,
Port Blair,744101,A&N Islands,Port Blair,Andaman Nicobar,
Ranghat,Ê744205,A&N Islands,Port Blair,Andaman Nicobar,
Shadipur,Ê744106,A&N Islands,Port Blair,Andaman Nicobar,
Wimberlygunji,Ê744206,A&N Islands,Port Blair,Andaman Nicobar,
A C Nagar,Ê524002,Nellore,Nellore,Andhra Pradesh,
A C Palli,Ê508207,Nalgonda,Nalgonda,Andhra Pradesh,
A G M Colony,Ê504251,Adilabad,Adilabad,Andhra Pradesh,
A G'S Office,Ê500463,Hyderabad,Hyderabad,Andhra Pradesh,
A G'S Office Staff,Ê500890,Hyderabad,Hyderabad,Andhra Pradesh,
A M A L College,Ê531001,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh,
A P E R L,Ê500030,Hyderabad,Hyderabad,Andhra Pradesh,
A P S E Board,Ê500049,Hyderabad,Hyderabad,Andhra Pradesh,
A Raichur,Ê509343,Mahboobnagar,Mahboobnagar,Andhra Pradesh,
A T Agraharam,Ê522004,Guntur,Guntur,Andhra Pradesh,
A T P Collectorate,Ê515001,Anantapur,Anantapur,Andhra Pradesh,
Aallagadda,Ê518543,Kurnool,Kurnool,Andhra Pradesh,
Abadi Ghanpur,Ê506144,Warangal,Warangal,Andhra Pradesh,
Abadi Ramagundam,Ê505208,Karimnagar,Karimnagar,Andhra Pradesh,
Abbinenigunta Palem,Ê522015,Guntur,Guntur,Andhra Pradesh,
Abburu,Ê522403,Guntur,Guntur,Andhra Pradesh,
Ac Guards,Ê500004,Hyderabad,Hyderabad,Andhra Pradesh,
Academy,Ê500252,Hyderabad,Hyderabad,Andhra Pradesh,
Achampet,Ê509375,Mahboobnagar,Lingotam,Andhra Pradesh,
Achanta,Ê534123,West Godavari,Achanta,Andhra Pradesh,
Achutapuram,Ê531011,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh,
Adarsh Nagar,Ê504001,Adilabad,Adilabad,Andhra Pradesh,
Adarsh Nagar,Ê500463,Hyderabad,Hyderabad,Andhra Pradesh,
Addanki,Ê523201,Prakasam,Addanki,Andhra Pradesh,
Addanki Gate,Ê523001,Prakasam,Prakasam,Andhra Pradesh,
Addatigala,Ê533428,East Godavari,East Godavari,Andhra Pradesh,
Adilabad,Ê504001,Adilabad,Adilabad,Andhra Pradesh,
Adilabad Collecotorate,Ê504002,Adilabad,Adilabad,Andhra Pradesh,
Adivarampet,Ê505188,Karimnagar,Adivarampet,Andhra Pradesh,
Adm Bldgs,Ê507101,Khammam,Khammam,Andhra Pradesh,
Administrative Building,Ê500007,Hyderabad,Hyderabad,Andhra Pradesh,
Administrative Building,Ê500032,Hyderabad,Hyderabad,Andhra Pradesh,
Adoni,Ê518301,Kurnool,Adoni,Andhra Pradesh,
Adoni Arts College,Ê518302,Kurnool,Kurnool,Andhra Pradesh,
Adoni Cotton Market,Ê518301,Kurnool,Kurnool,Andhra Pradesh,
Adoni Town,Ê518301,Kurnool,Kurnool,Andhra Pradesh,
Adsarla Pally,Ê508367,Nalgonda,Nalgonda,Andhra Pradesh,
Advanced Training Institute,Ê500007,Hyderabad,Hyderabad,Andhra Pradesh,
Advula Divi,Ê522263,Guntur,Guntur,Andhra Pradesh,
Afzal Gunj,Ê500012,Hyderabad,Hyderabad,Andhra Pradesh,
Agadur,Ê516421,Cuddapah,Agadur,Andhra Pradesh,
Agali,Ê515311,Anantapur,Anantapur,Andhra Pradesh,
Agnoor,Ê501146,Ranga Reddy,Agnoor,Andhra Pradesh,
Agraharam,Ê522270,Guntur,Guntur,Andhra Pradesh,
Agraharam,Ê534196,West Godavari,West Godavari,Andhra Pradesh,
Agri Market Yard,Ê522004,Guntur,Guntur,Andhra Pradesh,
Agricultural College Jubilee,Ê500030,Hyderabad,Hyderabad,Andhra Pradesh,
Ahmed Nagar,Ê500028,Hyderabad,Hyderabad,Andhra Pradesh,
Ahmed Nagar,Ê523155,Prakasam,Prakasam,Andhra Pradesh,
Ainapur,Ê501522,Ranga Reddy,Ainapur,Andhra Pradesh,
Ainavolu,Ê522659,Guntur,Guntur,Andhra Pradesh,
Air Force Academy,Ê500043,Hyderabad,Hyderabad,Andhra Pradesh,
Aitipamula,Ê508216,Nalgonda,Nalgonda,Andhra Pradesh,
Ajit Nagar,Ê520015,Krishna,Krishna,Andhra Pradesh,
Ajjada,Ê532552,Srikakulam,Ajjada,Andhra Pradesh,
Ajjaram,Ê534339,West Godavari,West Godavari,Andhra Pradesh,
Akepadu,Ê516132,Cuddapah,Cuddapah,Andhra Pradesh,
Akividu,Ê534235,West Godavari,West Godavari,Andhra Pradesh,
Akividu Bazar,Ê534235,West Godavari,West Godavari,Andhra Pradesh,
Akkalareddy Palle,Ê516506,Kurnool,Kurnool,Andhra Pradesh,
Akkayyapelem,Ê530016,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh,
Akkupalle,Ê532219,Srikakulam,Srikakulam,Andhra Pradesh,
