Product_Id,Product_name,Price,city_code,type_id
1731,TVS,35000,723103,1
1732,Royal Enfield,119900,743102,1
1733,Triumph,600000,743102,1
1734,TVS,65000,721632,1
1735,Yamaha,80000,700083,1
1736,Yamaha,53499,741312,1
1737,Honda,85000,Ê700083,1
1738,Hero,45000,Ê713344,1
1739,Royal Enfield,145000,721631,1
1740,Royal Enfield,88000,721444,1
1741,Yamaha,72000,733142,1
1742,Yamaha,95000,721437,1
1743,Bajaj,78000,Ê731239,1
1744,Bajaj,29499,Ê713512,1
1745,Bajaj,29900,732141,1
1746,Bajaj,90000,743508,1
1747,Bajaj,120000,721633,1
1748,Suzuki,48000,721669,1
1749,Benelli,240000,Ê700011,1
1750,Bajaj,29900,Ê713325,1
1751,Bajaj,120000,742169,1
1752,Suzuki,48000,742160,1
1753,Hero,46500,Ê713165,1
1754,Royal Enfield,121700,741202,1
1755,Yamaha,45000,743175,1
1756,Bajaj,78000,Ê735233,1
1757,Hero,20000,Ê712416,1
1758,Honda,20800,Ê700027,1
1759,Bajaj,50000,721660,1
1760,Honda,81200,743203,1
1761,Bajaj,88000,Ê712703,1
1762,Yamaha,80000,Ê700057,1
1763,Bajaj,40900,721257,1
1764,KTM,180000,Ê721138,1
1765,Honda,40000,721138,1
1766,KTM,70000,Ê712513,1
1767,Royal Enfield,98800,743442,1
1768,Honda,65000,741165,1
1769,Royal Enfield,190500,Ê713359,1
1770,KTM,179000,721451,1
1771,Royal Enfield,70000,Ê713370,1
1772,Bajaj,45000,721260,1
1773,Royal Enfield,78000,Ê700090,1
1774,Bajaj,110000,Ê711108,1
1775,Royal Enfield,85000,741251,1
1776,Bajaj,38000,Ê711108,1
1777,Royal Enfield,55346,Ê700040,1
1778,Mahindra,28000,723150,1
1779,Hero,37000,Ê700053,1
1780,Suzuki,97000,743276,1
1781,Yamaha,40000,Ê736203,1
1782,Royal Enfield,90000,Ê700087,1
1783,TVS,60000,732159,1
1784,Honda,21900,Ê700001,1
1785,Bajaj,40000,Ê713434,1
1786,Benelli,475000,Ê736150,1
1787,Honda,34500,743120,1
1788,Yamaha,25000,Ê736156,1
1789,Suzuki,30200,743338,1
1790,Bajaj,65000,Ê736156,1
1791,Bajaj,25000,721304,1
1792,Kawasaki,935000,Ê700049,1
1793,Royal Enfield,107100,700049,1
1794,Bajaj,80000,742224,1
1795,Royal Enfield,88000,Ê713370,1
1796,KTM,94700,Ê722147,1
1797,Hero,12200,743374,1
1798,Royal Enfield,106000,742183,1
1799,Bajaj,29500,743707,1
1800,Kawasaki,290000,743202,1
1801,Royal Enfield,110000,Ê700090,1
1802,Bajaj,27000,721259,1
1803,Royal Enfield,65000,721663,1
1804,Royal Enfield,150000,Ê734430,1
1805,Hero,55786,Ê734103,1
1806,Bajaj,45000,Ê700037,1
1807,Yamaha,146000,Ê721101,1
1808,Royal Enfield,115000,Ê741101,1
1809,Bajaj,30000,Ê735224,1
1810,Bajaj,93100,Ê712601,1
1811,Yamaha,82000,Ê722101,1
1812,Royal Enfield,260000,Ê713381,1
1813,Honda,38000,Ê713102,1
1814,KTM,130000,Ê713147,1
1815,Royal Enfield,118000,Ê713101,1
1816,Bajaj,14700,Ê711104,1
1817,Royal Enfield,85000,Ê711311,1
1818,Bajaj,40000,Ê711321,1
1819,Yamaha,50000,721307,1
1820,Royal Enfield,71800,732128,1
1821,Royal Enfield,71800,Ê722144,1
1822,Bajaj,75000,Ê700028,1
1823,Ducati,1350000,Ê713167,1
1824,Triumph,790000,Ê713345,1
1825,Bajaj,47000,Ê711101,1
1826,Bajaj,60000,741181,1
1827,Suzuki,96700,Ê713168,1
1828,Hero,31900,Ê700024,1
1829,Bajaj,35000,721667,1
1830,KTM,240000,Ê731138,1
1831,Honda,68000,Ê731221,1
1832,Bajaj,80000,Ê700002,1
1833,Royal Enfield,135000,Ê721134,1
1834,Bajaj,11100,Ê722208,1
1835,Benelli,480000,732213,1
1836,Suzuki,65000,732138,1
1837,Yamaha,60000,Ê713202,1
1838,Honda,80000,741155,1
1839,Hero,46000,743701,1
1840,Royal Enfield,95000,Ê712136,1
1841,Hyosung,400000,721167,1
1842,Bajaj,55000,Ê735226,1
1843,Yamaha,63000,Ê713420,1
1844,Bajaj,51000,Ê713148,1
1845,TVS,69900,723132,1
1846,Bajaj,125000,Ê711101,1
1847,Benelli,210000,Ê711225,1
1848,Honda,35900,721438,1
1849,Honda,67000,Ê731140,1
1850,Hero,29339,Ê711322,1
1851,Hero,19695,Ê722156,1
1852,Hero,48672,743516,1
1853,Honda,40000,Ê731133,1
1854,Yamaha,500000,721447,1
1855,Ducati,800000,Ê731255,1
1856,Royal Enfield,110000,742161,1
1857,Royal Enfield,92500,Ê735132,1
1858,Bajaj,57000,Ê713346,1
1859,Royal Enfield,72500,Ê712149,1
1860,KTM,68000,743176,1
1861,TVS,21500,743176,1
1862,TVS,40000,721448,1
1863,Royal Enfield,91000,Ê711325,1
1864,Harley-Davidson,300000,733208,1
1865,Suzuki,47000,Ê734217,1
1866,Suzuki,53000,Ê735101,1
1867,Suzuki,51000,743180,1
1868,Bajaj,48000,Ê721139,1
1869,Bajaj,55000,Ê721152,1
1870,Royal Enfield,173300,721152,1
1871,Royal Enfield,77000,Ê711415,1
1872,Bajaj,115000,Ê713516,1
1873,Bajaj,36000,Ê731135,1
1874,Bajaj,72000,Ê735221,1
1875,Royal Enfield,115000,Ê712906,1
1876,Honda,65000,723155,1
1877,Honda,99000,721644,1
1878,Yamaha,68500,732204,1
1879,Yamaha,140000,Ê713382,1
1880,KTM,130000,Ê713384,1
1881,Bajaj,46000,Ê700034,1
1882,Hero,30000,Ê712418,1
1883,Bajaj,116000,Ê700017,1
1884,Royal Enfield,130000,Ê700016,1
1885,Royal Enfield,98000,Ê700060,1
1886,Royal Enfield,85000,700060,1
1887,Royal Enfield,110000,Ê700063,1
1888,Royal Enfield,173300,700041,1
1889,Bajaj,50000,Ê700041,1
1890,Royal Enfield,100000,Ê731139,1
1891,Royal Enfield,66000,Ê736101,1
1892,Royal Enfield,77000,721439,1
1893,Royal Enfield,92500,743611,1
1894,Bajaj,57000,743371,1
1895,Royal Enfield,72500,Ê700006,1
1896,Honda,80000,Ê700048,1
1897,Royal Enfield,123600,733133,1
1898,Suzuki,950000,732162,1
1899,Royal Enfield,107000,Ê722206,1
1900,Ducati,600000,Ê700003,1
1901,Yamaha,80000,721465,1
1902,Suzuki,75000,Ê722145,1
1903,Hero,43778,Ê734311,1
1904,KTM,118000,743705,1
1905,Yamaha,68000,Ê713512,1
1906,Bajaj,27000,Ê734434,1
1907,Hero,48500,Ê734218,1
1908,Hero,15000,Ê700054,1
1909,KTM,95000,Ê700039,1
1910,KTM,145000,Ê722101,1
1911,Yamaha,62000,Ê721140,1
1912,Hero,25000,721140,1
1913,Ducati,700000,Ê712103,1
1914,Royal Enfield,160000,743387,1
1915,Bajaj,47500,Ê713210,1
1916,Yamaha,21000,741156,1
1917,Yamaha,18000,741157,1
1918,Hero,36000,Ê734216,1
1919,Yamaha,52000,Ê712154,1
1920,Harley-Davidson,435000,Ê700002,1
1921,TVS,68000,Ê721134,1
1922,Bajaj,80000,Ê712307,1
1923,Royal Enfield,110800,Ê734403,1
1924,TVS,85000,743511,1
1925,Royal Enfield,145000,Ê731101,1
1926,Bajaj,145000,Ê712426,1
1927,Royal Enfield,149000,Ê735133,1
1928,Hero,60000,721440,1
1929,Royal Enfield,140000,Ê712422,1
1930,KTM,85000,Ê712101,1
1931,Bajaj,86000,Ê712149,1
1932,Royal Enfield,115000,Ê700032,1
1933,Suzuki,83000,Ê700072,1
1934,KTM,85000,741247,1
1935,Bajaj,86000,Ê700026,1
1936,Royal Enfield,115000,732215,1
1937,Suzuki,83000,Ê712305,1
1938,Bajaj,28000,721154,1
1939,Hero,14500,Ê721154,1
1940,Hero,32000,723151,1
1941,Bajaj,62500,742228,1
1942,Yamaha,122500,Ê736165,1
1943,Bajaj,24500,Ê731129,1
1944,TVS,78500,742171,1
1945,Royal Enfield,102500,Ê700008,1
1946,TVS,28000,700093,1
1947,Royal Enfield,130000,Ê713513,1
1948,Royal Enfield,130000,Ê700030,1
1949,Bajaj,115000,723101,1
1950,KTM,96000,723101,1
1951,Bajaj,29500,723101,1
1952,Yamaha,100000,723101,1
1953,Royal Enfield,177982,723101,1
1954,Royal Enfield,202000,Ê731139,1
1955,Suzuki,950000,Ê711106,1
1956,KTM,113000,Ê700004,1
1957,Bajaj,45400,Ê700001,1
1958,Royal Enfield,105000,700065,1
1959,Ducati,885000,700065,1
1960,Yamaha,30000,Ê734406,1
1961,Bajaj,22000,Ê700065,1
1962,Royal Enfield,115000,Ê700018,1
1963,Bajaj,55000,Ê712150,1
1964,Bajaj,20000,Ê735101,1
1965,Hero,56000,Ê700001,1
1966,TVS,28000,741104,1
1967,Hero,44000,Ê721160,1
1968,Bajaj,190000,Ê713372,1
1969,Royal Enfield,78000,742187,1
1970,Honda,18787,721160,1
1971,Bajaj,51500,721634,1
1972,Bajaj,54200,742225,1
1973,Royal Enfield,175000,742225,1
1974,Bajaj,48000,742225,1
1975,Honda,40000,Ê712247,1
1976,Bajaj,102400,723133,1
1977,Yamaha,65000,Ê713325,1
1978,KTM,170000,743186,1
1979,Bajaj,12999,721667,1
1980,KTM,87000,Ê736201,1
1981,Bajaj,45600,743383,1
